MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,23.0,2762.0552900937514,7469.338650424352,2.704268331344961,1.541200578685177,0.8457994065202431,0.03006419538556656,0.47654972274791413,0.0,2.0437175200919264,6,4,-99,0,in_situ,9999,DRE,After Drilling,,,,4,,,,2762.0552900937514
Animon,vofe,21_22,23.0,3081.5924667812506,8153.9286314478095,2.6460113461935664,1.491989142435205,0.7862376270059195,0.035825145249399094,0.5352166926695807,0.0,1.8985242326125946,6,4,-99,0,all,100,DRE,After Drilling,,,,4,,,,3081.5924667812506
Animon,vofe,21_22,23.0,2762.0552900937514,7469.338650424352,2.704268331344961,1.541200578685177,0.8457994065202431,0.03006419538556656,0.47654972274791413,0.0,2.0437175200919264,6,4,-99,0,in_situ,100,DRE,After Drilling,,,,4,,,,2762.0552900937514
Animon,vofe,21_22,4.0,3366.222290182338,11211.895242219514,3.3307055433977895,0.9920867414118254,0.28486271328681445,0.07114153238833862,2.053756088699154,0.0,0.0,7,-99,4,0,all,9999,DDDRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,4.0,3366.222290182338,11211.895242219514,3.3307055433977895,0.9920867414118254,0.28486271328681445,0.07114153238833862,2.053756088699154,0.0,0.0,7,-99,4,0,all,100,DDDRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,24.0,3366.222290182338,11211.895242219514,3.3307055433977895,0.9920867414118254,0.28486271328681445,0.07114153238833862,2.053756088699154,0.0,0.0,7,-99,4,0,all,9999,DRE,Before Drilling,,,,4,,,,-3366.222290182338
Animon,vofe,21_22,24.0,3366.222290182338,11211.895242219514,3.3307055433977895,0.9920867414118254,0.28486271328681445,0.07114153238833862,2.053756088699154,0.0,0.0,7,-99,4,0,all,100,DRE,Before Drilling,,,,4,,,,-3366.222290182338
Animon,vofe,21_22,4.0,758323.0669472204,3352665.800577598,4.42115761304007,1.5370768781533675,0.5693007054385765,0.0762935609162703,2.9805456651130746,0.0112501362861224,1.306610790342184,9,4,3,0,all,9999,RE,After Drilling,,,3,4,758323.0669472204,,,758323.0669472204
Animon,vofe,21_22,4.0,682197.9816618455,3079460.5591808273,4.514027660532227,1.4523070045175719,0.5835061623493084,0.07078963880238973,3.188683445384976,0.0048302983519198685,1.3849906186818528,9,4,3,0,in_situ,9999,RE,After Drilling,,,3,4,682197.9816618455,,,682197.9816618455
Animon,vofe,21_22,4.0,758323.0669472204,3352665.800577598,4.42115761304007,1.5370768781533675,0.5693007054385765,0.0762935609162703,2.9805456651130746,0.0112501362861224,1.306610790342184,9,4,3,0,all,100,RE,After Drilling,,,3,4,758323.0669472204,,,758323.0669472204
Animon,vofe,21_22,4.0,682197.9816618455,3079460.5591808273,4.514027660532227,1.4523070045175719,0.5835061623493084,0.07078963880238973,3.188683445384976,0.0048302983519198685,1.3849906186818528,9,4,3,0,in_situ,100,RE,After Drilling,,,3,4,682197.9816618455,,,682197.9816618455
Animon,vofe,21_22,1.0,506016.1789240628,8011878.524398706,15.833245769797882,11.092653373496754,1.359870165139257,0.21780447357426735,4.39989004714827,4.719901047859686,1.8226786519290261,2,1,1,0,all,9999,DRE,After Drilling,1,,,,452950.8982286253,,,
Animon,vofe,21_22,1.0,53065.28069543749,734871.6855735461,13.848446214602419,10.07401857740595,1.0511037778409882,0.1669502928940031,3.5403811742884357,4.525633917840849,1.3081772186793694,2,1,1,0,in_situ,9999,DRE,After Drilling,1,,,,-452950.8982286253,,,
Animon,vofe,21_22,1.0,506016.1789240628,8011878.524398706,15.833245769797882,11.092653373496754,1.359870165139257,0.21780447357426735,4.39989004714827,4.719901047859686,1.8226786519290261,2,1,1,0,all,100,DRE,After Drilling,1,,,,452950.8982286253,,,
