FLAG,BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
,DDHUSC22176,77.530328,77.829508,1,351.25,vi,4,-99,23,4,San Cristobal,22_23,0.303468,0,0.061018311,0,0.20107,0,0.03,0.02,0.193,0.20107
,DDHUSC23110,88.85,89.15,1,408.35,vi,3,-99,17,3,San Cristobal,22_23,0.282451517,0,0.799027096,0,2.8289,0,0.5984,1.588,0.954,2.8289
,DDHUSC23095,91.723333,92.016667,1,392.5,vi,3,-99,17,3,San Cristobal,22_23,0.334518297,0,0.067261594,0,0.20107,0,0.03,0.02,0.193,0.20107
,DDHUSC23103,96.7148305,97.013983,1,480.45,vi,3,-99,17,3,San Cristobal,22_23,0.298526,0,0.060024623,0,0.20107,0,0.03,0.02,0.193,0.20107
,DDHUSC23091,102.45,102.75,1,194.2,vi,2,-99,11,2,San Cristobal,22_23,0.265967,0,1.152798056,0,4.334365,0,3.2183,0.5758,0.7349,4.334365
,DDHUSC22118,133.6157895,134.2842105,1,144,vi,2,-99,11,2,San Cristobal,22_23,1.046284872,0,55.40370394,0,52.95279079,0,29.92246316,5.280305263,22.93625789,52.95279079
,DDHUSC23062,176.7,177.95,1,226.85,vi,2,-99,11,2,San Cristobal,22_23,0.612738765,0,55.49909488,0,90.575459,0,30.3117,29.2037,41.9042,90.575459
,DDHUSC23055,149.2113636,149.5886364,1,228.4,vi,2,-99,11,2,San Cristobal,22_23,0.543379489,0,10.51214179,0,19.34585682,0,12.83647727,1.571859091,6.389304545,19.34585682
,DDHUSC22169,265.05,265.7,1,338.3,vi,3,-99,17,3,San Cristobal,22_23,0.532612,0,39.50069815,0,74.164116,0,31.13,15.2152,36.562,74.164116
,DDHUSC22148,288.93,289.32,1,366.2,vi,3,-99,17,3,San Cristobal,22_23,0.5311,0,34.57022513,0,65.0917438,0,43.54528,2.72722,24.06348,65.0917438
,DDHUSC23141,185.569872,185.86859,1,250.35,vi,3,-99,17,3,San Cristobal,22_23,0.473991863,0,0.095305544,0,0.20107,0,0.03,0.02,0.193,0.20107
,DDHUSC23096,287.95,288.65,1,344.7,vi,1,-99,5,1,San Cristobal,22_23,0.606416,0,25.50076792,0,42.051608,0,22.9604,5.5982,17.5758,42.051608
,DDHUSC23147,178.5,178.8,1,255.6,vi,1,-99,5,1,San Cristobal,22_23,0.314534,0,22.41555268,0,71.265913,0,24.5732,15.3892,40.9883,71.265913
,DDHUSC23138,171.2,171.8,1,194.3,vi,2,-99,11,2,San Cristobal,22_23,0.751122,0,19.80790511,0,26.371089,0,21.356,2.4124,3.5083,26.371089
,DDHUSC23061,256.6,256.95,1,329.05,vi,3,-99,17,3,San Cristobal,22_23,0.342751,0,2.635659562,0,7.689721,0,2.5653,0.6044,5.7751,7.689721
,DDHUSC22165,209.7984848,210.7515152,1,286.8,vi,2,-99,11,2,San Cristobal,22_23,1.430966124,0,24.7335851,0,17.28453573,0,11.02584545,3.293660606,4.045045455,17.28453573
,DDHUSC23088,270.95,271.35,1,323.75,vi,1,-99,5,1,San Cristobal,22_23,0.377434,0,14.81423619,0,39.249872,0,14.9922,6.8759,22.6115,39.249872
